Search interest in same sex marriage by city on 6/26,,,,
"All values indexed to 100, where 100 is the max search interest",,,,
City,State,Country,Indexed Search Interest,Time in EST
Denver,Colorado,United States,0.2,9:21 AM
Los Angeles,California,United States,0.2,9:21 AM
New York,New York,United States,0.2,9:21 AM
San Francisco,California,United States,0.1,9:21 AM
Atlanta,Georgia,United States,0.1,9:21 AM
Philadelphia,Pennsylvania,United States,0.1,9:21 AM
Houston,Texas,United States,0.1,9:21 AM
Chicago,Illinois,United States,0.0,9:21 AM
Ault Field,Washington,United States,100.0,9:22 AM
Hazel Park,Michigan,United States,50.0,9:22 AM
Middlesboro,Kentucky,United States,33.3,9:22 AM
Salem,Oregon,United States,33.3,9:22 AM
Crystal Lake,Illinois,United States,25.0,9:22 AM
Osceola,Iowa,United States,25.0,9:22 AM
Farmington,Maine,United States,25.0,9:22 AM
Gang Mills,New York,United States,25.0,9:22 AM
Gardena,California,United States,14.3,9:22 AM
Amherst,New Hampshire,United States,11.1,9:22 AM
Hendersonville,North Carolina,United States,8.3,9:22 AM
Anchorage,Kentucky,United States,8.3,9:22 AM
Cliffside Park,New Jersey,United States,7.1,9:22 AM
New Bern,North Carolina,United States,7.1,9:22 AM
Gloucester Township,New Jersey,United States,6.7,9:22 AM
Lewes,Delaware,United States,6.7,9:22 AM
Bowling Green,Ohio,United States,6.7,9:22 AM
Stow,Ohio,United States,5.9,9:22 AM
Edmond,Oklahoma,United States,5.6,9:22 AM
Fort Lee,New Jersey,United States,5.6,9:22 AM
Garden City,New York,United States,5.6,9:22 AM
Bayonne,New Jersey,United States,4.2,9:22 AM
Kissimmee,Florida,United States,4.0,9:22 AM
Santa Clarita,California,United States,3.7,9:22 AM
Alachua,Florida,United States,2.8,9:22 AM
Summerville,South Carolina,United States,2.3,9:22 AM
Oakland,California,United States,2.3,9:22 AM
Iowa City,Iowa,United States,2.2,9:22 AM
Fairfax,Virginia,United States,2.1,9:22 AM
Eden Prairie,Minnesota,United States,1.9,9:22 AM
Aurora,Colorado,United States,1.7,9:22 AM
Round Rock,Texas,United States,1.4,9:22 AM
Mountain View,California,United States,1.4,9:22 AM
Clarksburg,Maryland,United States,1.4,9:22 AM
Golden Valley,Minnesota,United States,1.3,9:22 AM
Beckett Ridge,Ohio,United States,1.1,9:22 AM
Las Vegas,Nevada,United States,0.9,9:22 AM
Hyattsville,Maryland,United States,0.9,9:22 AM
Seattle,Washington,United States,0.8,9:22 AM
West Memphis,Arkansas,United States,0.7,9:22 AM
Albuquerque,New Mexico,United States,0.7,9:22 AM
Columbus,Ohio,United States,0.6,9:22 AM
Louisville,Kentucky,United States,0.5,9:22 AM
Salisbury,North Carolina,United States,0.5,9:22 AM
Miami,Florida,United States,0.5,9:22 AM
Bridgewater,New Jersey,United States,0.5,9:22 AM
Newark,New Jersey,United States,0.5,9:22 AM
Ann Arbor,Michigan,United States,0.5,9:22 AM
San Antonio,Texas,United States,0.4,9:22 AM
Birmingham,Alabama,United States,0.4,9:22 AM
Yonkers,New York,United States,0.4,9:22 AM
Orlando,Florida,United States,0.3,9:22 AM
San Diego,California,United States,0.3,9:22 AM
New York,New York,United States,0.2,9:22 AM
Washington,District of Columbia,United States,0.2,9:22 AM
Austin,Texas,United States,0.2,9:22 AM
Altamonte Springs,Florida,United States,0.2,9:22 AM
Nashville,Tennessee,United States,0.2,9:22 AM
Atlanta,Georgia,United States,0.2,9:22 AM
San Francisco,California,United States,0.1,9:22 AM
Houston,Texas,United States,0.1,9:22 AM
Detroit,Michigan,United States,0.1,9:22 AM
Dallas,Texas,United States,0.1,9:22 AM
Sheridan,Oregon,United States,0.1,9:22 AM
Philadelphia,Pennsylvania,United States,0.1,9:22 AM
Los Angeles,California,United States,0.1,9:22 AM
Chicago,Illinois,United States,0.1,9:22 AM
Livingston,Louisiana,United States,50.0,9:23 AM
Bristol,Indiana,United States,50.0,9:23 AM
Dayton,Texas,United States,50.0,9:23 AM
Forney,Texas,United States,33.3,9:23 AM
Elgin,Texas,United States,20.0,9:23 AM
Waynesville,North Carolina,United States,20.0,9:23 AM
Timberwood Park,Texas,United States,20.0,9:23 AM
St. Johns,Michigan,United States,14.3,9:23 AM
Washington,North Carolina,United States,14.3,9:23 AM
Pataskala,Ohio,United States,14.3,9:23 AM
Cave Spring,Virginia,United States,14.3,9:23 AM
Highland Park,Illinois,United States,12.5,9:23 AM
Westlake,Texas,United States,12.5,9:23 AM
Forestville,Wisconsin,United States,12.5,9:23 AM
Gonzales,Louisiana,United States,11.1,9:23 AM
Fairhope,Alabama,United States,10.0,9:23 AM
Morristown,Tennessee,United States,9.1,9:23 AM
Bowling Green,Ohio,United States,7.1,9:23 AM
Key West,Florida,United States,6.7,9:23 AM
Muncie,Indiana,United States,6.3,9:23 AM
Longview,Texas,United States,5.3,9:23 AM
Ranchettes,Wyoming,United States,4.8,9:23 AM
Farmers Branch,Texas,United States,3.2,9:23 AM
East Hartford,Connecticut,United States,3.1,9:23 AM
Lubbock,Texas,United States,1.8,9:23 AM
Reading,Pennsylvania,United States,1.7,9:23 AM
Framingham,Massachusetts,United States,1.7,9:23 AM
Tuckahoe,Virginia,United States,1.2,9:23 AM
Johnstown,Pennsylvania,United States,1.2,9:23 AM
Tinley Park,Illinois,United States,1.2,9:23 AM
Mountain View,California,United States,1.1,9:23 AM
New Haven,Connecticut,United States,1.0,9:23 AM
Eden Prairie,Minnesota,United States,0.9,9:23 AM
Pittsfield Charter Township,Michigan,United States,0.8,9:23 AM
Saint Paul,Minnesota,United States,0.8,9:23 AM
Smyrna,Georgia,United States,0.8,9:23 AM
Leesburg,Virginia,United States,0.8,9:23 AM
Tallahassee,Florida,United States,0.8,9:23 AM
Memphis,Tennessee,United States,0.7,9:23 AM
Cambridge,Massachusetts,United States,0.5,9:23 AM
Hyattsville,Maryland,United States,0.5,9:23 AM
Columbus,Ohio,United States,0.5,9:23 AM
Portland,Oregon,United States,0.5,9:23 AM
Seattle,Washington,United States,0.4,9:23 AM
Richmond,Virginia,United States,0.3,9:23 AM
Pittsburgh,Pennsylvania,United States,0.3,9:23 AM
Raleigh,North Carolina,United States,0.3,9:23 AM
Louisville,Kentucky,United States,0.3,9:23 AM
St. Louis,Missouri,United States,0.3,9:23 AM
Orlando,Florida,United States,0.3,9:23 AM
San Diego,California,United States,0.2,9:23 AM
Charlotte,North Carolina,United States,0.2,9:23 AM
Denver,Colorado,United States,0.2,9:23 AM
New York,New York,United States,0.2,9:23 AM
Nashville,Tennessee,United States,0.2,9:23 AM
Detroit,Michigan,United States,0.1,9:23 AM
Atlanta,Georgia,United States,0.1,9:23 AM
Philadelphia,Pennsylvania,United States,0.1,9:23 AM
Los Angeles,California,United States,0.1,9:23 AM
Chicago,Illinois,United States,0.1,9:23 AM
Houston,Texas,United States,0.0,9:23 AM
Scott,Louisiana,United States,100.0,9:24 AM
Leadville North,Colorado,United States,100.0,9:24 AM
Shillington,Pennsylvania,United States,50.0,9:24 AM
Flatwoods,Kentucky,United States,50.0,9:24 AM
Pinewood,Florida,United States,50.0,9:24 AM
Belvidere,Illinois,United States,25.0,9:24 AM
Cottonwood Heights,Utah,United States,14.3,9:24 AM
Jasper,Georgia,United States,12.5,9:24 AM
Corvallis,Oregon,United States,11.1,9:24 AM
University Park,Florida,United States,11.1,9:24 AM
Haddonfield,New Jersey,United States,10.0,9:24 AM
Gallatin,Tennessee,United States,9.1,9:24 AM
O'Fallon,Illinois,United States,8.3,9:24 AM
Alhambra,California,United States,8.3,9:24 AM
Forney,Texas,United States,7.7,9:24 AM
Walpole,Massachusetts,United States,6.7,9:24 AM
Millburn,New Jersey,United States,6.3,9:24 AM
Lewiston,Maine,United States,5.9,9:24 AM
Port Washington,New York,United States,5.3,9:24 AM
Pikesville,Maryland,United States,5.0,9:24 AM
Covington,Louisiana,United States,4.8,9:24 AM
Plainfield Township,Michigan,United States,4.3,9:24 AM
Sanford,Florida,United States,4.2,9:24 AM
Cheswold,Delaware,United States,4.2,9:24 AM
Maryland Heights,Missouri,United States,3.7,9:24 AM
Marlborough,Massachusetts,United States,2.8,9:24 AM
Barnstable,Massachusetts,United States,2.7,9:24 AM
Spokane,Washington,United States,2.5,9:24 AM
La Crosse,Wisconsin,United States,2.4,9:24 AM
Lake Forest Park,Washington,United States,2.0,9:24 AM
Carrollton,Texas,United States,2.0,9:24 AM
Ontario,California,United States,1.9,9:24 AM
Greenville,South Carolina,United States,1.3,9:24 AM
Larkspur,California,United States,0.9,9:24 AM
Pittsfield Charter Township,Michigan,United States,0.9,9:24 AM
Little Rock,Arkansas,United States,0.9,9:24 AM
Huntsville,Alabama,United States,0.9,9:24 AM
Tampa,Florida,United States,0.8,9:24 AM
Sacramento,California,United States,0.8,9:24 AM
Wichita,Kansas,United States,0.7,9:24 AM
Troy,Michigan,United States,0.7,9:24 AM
New Orleans,Louisiana,United States,0.7,9:24 AM
Salt Lake City,Utah,United States,0.6,9:24 AM
Salisbury,North Carolina,United States,0.5,9:24 AM
Cambridge,Massachusetts,United States,0.5,9:24 AM
San Francisco,California,United States,0.5,9:24 AM
Grand Rapids,Michigan,United States,0.4,9:24 AM
Yonkers,New York,United States,0.4,9:24 AM
Saint Paul,Minnesota,United States,0.4,9:24 AM
Quincy,Massachusetts,United States,0.4,9:24 AM
Birmingham,Alabama,United States,0.4,9:24 AM
Seattle,Washington,United States,0.4,9:24 AM
Plano,Texas,United States,0.3,9:24 AM
Raleigh,North Carolina,United States,0.3,9:24 AM
Pittsburgh,Pennsylvania,United States,0.3,9:24 AM
Fort Worth,Texas,United States,0.3,9:24 AM
Orlando,Florida,United States,0.3,9:24 AM
San Diego,California,United States,0.2,9:24 AM
Austin,Texas,United States,0.2,9:24 AM
Los Angeles,California,United States,0.2,9:24 AM
Denver,Colorado,United States,0.2,9:24 AM
Columbus,Ohio,United States,0.2,9:24 AM
Atlanta,Georgia,United States,0.2,9:24 AM
Chicago,Illinois,United States,0.2,9:24 AM
Houston,Texas,United States,0.2,9:24 AM
Nashville,Tennessee,United States,0.2,9:24 AM
Sheridan,Oregon,United States,0.2,9:24 AM
Washington,District of Columbia,United States,0.1,9:24 AM
Detroit,Michigan,United States,0.1,9:24 AM
New York,New York,United States,0.1,9:24 AM
Boardman,Oregon,United States,0.1,9:24 AM
Wadmalaw Island,South Carolina,United States,50.0,9:25 AM
Lumberton,Texas,United States,50.0,9:25 AM
Helen,Georgia,United States,50.0,9:25 AM
Mendham,New Jersey,United States,33.3,9:25 AM
Oakmont,Pennsylvania,United States,33.3,9:25 AM
Manchester,Iowa,United States,25.0,9:25 AM
Irondale,Alabama,United States,25.0,9:25 AM
Bardstown,Kentucky,United States,20.0,9:25 AM
American Fork,Utah,United States,16.7,9:25 AM
Flowery Branch,Georgia,United States,16.7,9:25 AM
Lake Placid,New York,United States,14.3,9:25 AM
Chico,California,United States,14.3,9:25 AM
Fort Washington,Maryland,United States,11.1,9:25 AM
Westbrook,Maine,United States,11.1,9:25 AM
San Mateo,California,United States,10.0,9:25 AM
Davis,California,United States,9.1,9:25 AM
Lebanon,Pennsylvania,United States,8.3,9:25 AM
Shawnee,Kansas,United States,8.3,9:25 AM
Colmar,Pennsylvania,United States,7.7,9:25 AM
West University Place,Texas,United States,7.1,9:25 AM
Boynton Beach,Florida,United States,7.1,9:25 AM
Felton,California,United States,6.7,9:25 AM
Santa Fe,New Mexico,United States,5.6,9:25 AM
Coalville,Utah,United States,5.6,9:25 AM
Billerica,Massachusetts,United States,4.5,9:25 AM
College Park,Georgia,United States,3.4,9:25 AM
Holland,Michigan,United States,3.4,9:25 AM
Grand Forks,North Dakota,United States,3.4,9:25 AM
Alachua,Florida,United States,2.9,9:25 AM
Dublin,Ohio,United States,2.0,9:25 AM
Savannah,Georgia,United States,1.6,9:25 AM
Richardson,Texas,United States,1.2,9:25 AM
Cary,North Carolina,United States,0.9,9:25 AM
Sandy Springs,Georgia,United States,0.8,9:25 AM
Paradise,Nevada,United States,0.8,9:25 AM
New Haven,Connecticut,United States,0.8,9:25 AM
New Orleans,Louisiana,United States,0.6,9:25 AM
Norfolk,Virginia,United States,0.5,9:25 AM
Ann Arbor,Michigan,United States,0.5,9:25 AM
Minneapolis,Minnesota,United States,0.4,9:25 AM
Yonkers,New York,United States,0.4,9:25 AM
Milwaukee,Wisconsin,United States,0.4,9:25 AM
Seattle,Washington,United States,0.3,9:25 AM
Nashville,Tennessee,United States,0.3,9:25 AM
Fort Worth,Texas,United States,0.3,9:25 AM
Louisville,Kentucky,United States,0.3,9:25 AM
San Diego,California,United States,0.2,9:25 AM
Austin,Texas,United States,0.2,9:25 AM
Denver,Colorado,United States,0.2,9:25 AM
Washington,District of Columbia,United States,0.2,9:25 AM
San Francisco,California,United States,0.1,9:25 AM
Boston,Massachusetts,United States,0.1,9:25 AM
Chicago,Illinois,United States,0.1,9:25 AM
Charlotte,North Carolina,United States,0.1,9:25 AM
Atlanta,Georgia,United States,0.1,9:25 AM
Sheridan,Oregon,United States,0.1,9:25 AM
New York,New York,United States,0.1,9:25 AM
Houston,Texas,United States,0.0,9:25 AM
Rio,Wisconsin,United States,100.0,9:26 AM
Yellow Springs,Ohio,United States,100.0,9:26 AM
West Hollywood,California,United States,50.0,9:26 AM
Alamance,North Carolina,United States,50.0,9:26 AM
Spring City,Tennessee,United States,50.0,9:26 AM
Greenacres,Florida,United States,50.0,9:26 AM
Taylorsville,Kentucky,United States,33.3,9:26 AM
Yelm,Washington,United States,33.3,9:26 AM
North Providence,Rhode Island,United States,20.0,9:26 AM
Morehead,Kentucky,United States,20.0,9:26 AM
Benton,Arkansas,United States,16.7,9:26 AM
Lexington,Virginia,United States,16.7,9:26 AM
Weir,Kansas,United States,16.7,9:26 AM
Waterville,Maine,United States,14.3,9:26 AM
Daly City,California,United States,11.1,9:26 AM
Bemidji,Minnesota,United States,10.0,9:26 AM
Rocky River,Ohio,United States,10.0,9:26 AM
Meridian,Idaho,United States,9.1,9:26 AM
Conway,South Carolina,United States,8.3,9:26 AM
Fort Knox,Kentucky,United States,8.3,9:26 AM
Cheshire,Connecticut,United States,7.7,9:26 AM
Wilmington,Ohio,United States,7.1,9:26 AM
Westford,Massachusetts,United States,6.7,9:26 AM
Garden City,New York,United States,5.3,9:26 AM
Elk Grove,California,United States,4.8,9:26 AM
Murphysboro,Illinois,United States,4.5,9:26 AM
Blue Ash,Ohio,United States,4.3,9:26 AM
Anderson,South Carolina,United States,3.8,9:26 AM
Lexington,Massachusetts,United States,3.8,9:26 AM
Pompano Beach,Florida,United States,3.3,9:26 AM
Montclair,New Jersey,United States,3.2,9:26 AM
Allen,Texas,United States,3.0,9:26 AM
College Park,Maryland,United States,2.8,9:26 AM
Morgantown,West Virginia,United States,2.3,9:26 AM
Centennial,Colorado,United States,2.2,9:26 AM
Eau Claire,Wisconsin,United States,2.2,9:26 AM
Oakland,California,United States,2.1,9:26 AM
Columbus,Georgia,United States,1.9,9:26 AM
Charleston,West Virginia,United States,1.6,9:26 AM
Worcester,Massachusetts,United States,1.2,9:26 AM
Macon,Georgia,United States,1.1,9:26 AM
Springfield,Missouri,United States,1.0,9:26 AM
Pittsfield Charter Township,Michigan,United States,0.9,9:26 AM
New Haven,Connecticut,United States,0.9,9:26 AM
Toledo,Ohio,United States,0.8,9:26 AM
Colorado Springs,Colorado,United States,0.8,9:26 AM
Yonkers,New York,United States,0.7,9:26 AM
Lexington,Kentucky,United States,0.7,9:26 AM
Albuquerque,New Mexico,United States,0.7,9:26 AM
New Orleans,Louisiana,United States,0.6,9:26 AM
Jacksonville,Florida,United States,0.5,9:26 AM
Saint Paul,Minnesota,United States,0.4,9:26 AM
Columbus,Ohio,United States,0.3,9:26 AM
San Jose,California,United States,0.3,9:26 AM
Tampa,Florida,United States,0.3,9:26 AM
St. Louis,Missouri,United States,0.3,9:26 AM
Charlotte,North Carolina,United States,0.2,9:26 AM
Indianapolis,Indiana,United States,0.2,9:26 AM
Austin,Texas,United States,0.2,9:26 AM
Atlanta,Georgia,United States,0.2,9:26 AM
Altamonte Springs,Florida,United States,0.2,9:26 AM
San Francisco,California,United States,0.1,9:26 AM
New York,New York,United States,0.1,9:26 AM
Detroit,Michigan,United States,0.1,9:26 AM
Dallas,Texas,United States,0.1,9:26 AM
Chicago,Illinois,United States,0.1,9:26 AM
Philadelphia,Pennsylvania,United States,0.1,9:26 AM
Los Angeles,California,United States,0.1,9:26 AM
Sheridan,Oregon,United States,0.1,9:26 AM
Washington,District of Columbia,United States,0.1,9:26 AM
Houston,Texas,United States,0.1,9:26 AM
Enterprise,Nevada,United States,33.3,9:27 AM
Sabetha,Kansas,United States,33.3,9:27 AM
Hermantown,Minnesota,United States,33.3,9:27 AM
Farmington,Minnesota,United States,20.0,9:27 AM
Junction City,Kansas,United States,20.0,9:27 AM
Streetsboro,Ohio,United States,20.0,9:27 AM
La Mesa,California,United States,16.7,9:27 AM
Laurel,Mississippi,United States,16.7,9:27 AM
Mount Vernon,Ohio,United States,14.3,9:27 AM
Hamilton,Ohio,United States,14.3,9:27 AM
Hazelwood,Missouri,United States,11.1,9:27 AM
Alhambra,California,United States,10.0,9:27 AM
Woodcliff Lake,New Jersey,United States,9.1,9:27 AM
Wyandotte,Michigan,United States,7.1,9:27 AM
Marysville,Ohio,United States,6.7,9:27 AM
Bear,Delaware,United States,6.3,9:27 AM
Severna Park,Maryland,United States,5.9,9:27 AM
Parole,Maryland,United States,5.9,9:27 AM
Galveston,Texas,United States,5.9,9:27 AM
Secaucus,New Jersey,United States,5.6,9:27 AM
Malden,Massachusetts,United States,5.6,9:27 AM
Vestavia Hills,Alabama,United States,5.3,9:27 AM
Shelby Township,Michigan,United States,5.0,9:27 AM
Woodstock,Illinois,United States,3.8,9:27 AM
Palm Bay,Florida,United States,3.3,9:27 AM
West Windsor Township,New Jersey,United States,3.2,9:27 AM
The Woodlands,Texas,United States,2.8,9:27 AM
Bloomfield,Connecticut,United States,2.8,9:27 AM
Dearborn,Michigan,United States,2.6,9:27 AM
Waltham,Massachusetts,United States,1.8,9:27 AM
Yonkers,New York,United States,1.6,9:27 AM
Panama City Beach,Florida,United States,1.6,9:27 AM
Hollywood,Florida,United States,1.6,9:27 AM
Shreveport,Louisiana,United States,1.4,9:27 AM
West Memphis,Arkansas,United States,0.8,9:27 AM
Sandy Springs,Georgia,United States,0.8,9:27 AM
Lexington,Kentucky,United States,0.7,9:27 AM
Louisville,Kentucky,United States,0.6,9:27 AM
Virginia Beach,Virginia,United States,0.6,9:27 AM
Austin,Texas,United States,0.4,9:27 AM
Seattle,Washington,United States,0.4,9:27 AM
Omaha,Nebraska,United States,0.3,9:27 AM
Detroit,Michigan,United States,0.3,9:27 AM
Boardman,Oregon,United States,0.3,9:27 AM
Altamonte Springs,Florida,United States,0.2,9:27 AM
Columbus,Ohio,United States,0.2,9:27 AM
New York,New York,United States,0.2,9:27 AM
Washington,District of Columbia,United States,0.1,9:27 AM
Sheridan,Oregon,United States,0.1,9:27 AM
Charlotte,North Carolina,United States,0.1,9:27 AM
Atlanta,Georgia,United States,0.1,9:27 AM
Philadelphia,Pennsylvania,United States,0.1,9:27 AM
Los Angeles,California,United States,0.1,9:27 AM
Chicago,Illinois,United States,0.1,9:27 AM
Houston,Texas,United States,0.1,9:27 AM
Brimfield,Massachusetts,United States,100.0,9:28 AM
Grass Lake Charter Township,Michigan,United States,50.0,9:28 AM
Lincolnton,Georgia,United States,50.0,9:28 AM
Tracy,California,United States,50.0,9:28 AM
Montgomery,Texas,United States,33.3,9:28 AM
Hobbs,New Mexico,United States,33.3,9:28 AM
Fayetteville,New York,United States,33.3,9:28 AM
Eureka,California,United States,20.0,9:28 AM
Louisville,Colorado,United States,16.7,9:28 AM
Winfield,Illinois,United States,16.7,9:28 AM
East Wenatchee,Washington,United States,14.3,9:28 AM
Bluefield,West Virginia,United States,14.3,9:28 AM
Corinth,Texas,United States,12.5,9:28 AM
Kiawah Island,South Carolina,United States,12.5,9:28 AM
Cerritos,California,United States,10.0,9:28 AM
Hamilton Township,New Jersey,United States,9.1,9:28 AM
Bardstown,Kentucky,United States,9.1,9:28 AM
Oxford,Mississippi,United States,9.1,9:28 AM
Braintree,Massachusetts,United States,8.3,9:28 AM
Kennedy Township,Pennsylvania,United States,7.1,9:28 AM
Meridian Charter Township,Michigan,United States,7.1,9:28 AM
Rocky Hill,Connecticut,United States,6.7,9:28 AM
Enfield,Connecticut,United States,6.3,9:28 AM
Palo Alto,California,United States,5.6,9:28 AM
Troy,New York,United States,5.0,9:28 AM
Denton,Texas,United States,4.4,9:28 AM
Oakland Park,Florida,United States,3.2,9:28 AM
Grand Forks,North Dakota,United States,3.0,9:28 AM
Kettering,Ohio,United States,2.8,9:28 AM
East Cobb,Georgia,United States,2.8,9:28 AM
Bon Air,Virginia,United States,2.5,9:28 AM
Pensacola,Florida,United States,2.5,9:28 AM
Fishers,Indiana,United States,2.2,9:28 AM
Fort Wayne,Indiana,United States,2.0,9:28 AM
Springfield,Massachusetts,United States,2.0,9:28 AM
Burlington,Vermont,United States,1.9,9:28 AM
McKinney,Texas,United States,1.9,9:28 AM
Johnson City,Tennessee,United States,1.9,9:28 AM
Long Beach,California,United States,1.7,9:28 AM
Arlington,Texas,United States,1.5,9:28 AM
Waltham,Massachusetts,United States,1.5,9:28 AM
Bethesda,Maryland,United States,1.3,9:28 AM
Lancaster,Pennsylvania,United States,1.2,9:28 AM
Mount Laurel,New Jersey,United States,1.0,9:28 AM
Las Vegas,Nevada,United States,1.0,9:28 AM
Larkspur,California,United States,1.0,9:28 AM
Fort Lauderdale,Florida,United States,0.9,9:28 AM
Little Rock,Arkansas,United States,0.8,9:28 AM
Sacramento,California,United States,0.8,9:28 AM
Troy,Michigan,United States,0.7,9:28 AM
Smyrna,Georgia,United States,0.6,9:28 AM
Tulsa,Oklahoma,United States,0.6,9:28 AM
Grand Rapids,Michigan,United States,0.5,9:28 AM
Nashville,Tennessee,United States,0.5,9:28 AM
Ann Arbor,Michigan,United States,0.4,9:28 AM
Hyattsville,Maryland,United States,0.4,9:28 AM
Seattle,Washington,United States,0.4,9:28 AM
Madison,Wisconsin,United States,0.4,9:28 AM
Kansas City,Missouri,United States,0.4,9:28 AM
Pittsburgh,Pennsylvania,United States,0.3,9:28 AM
Richmond,Virginia,United States,0.3,9:28 AM
Philadelphia,Pennsylvania,United States,0.3,9:28 AM
Fort Worth,Texas,United States,0.3,9:28 AM
Washington,District of Columbia,United States,0.3,9:28 AM
Raleigh,North Carolina,United States,0.3,9:28 AM
Houston,Texas,United States,0.2,9:28 AM
New York,New York,United States,0.2,9:28 AM
Dallas,Texas,United States,0.2,9:28 AM
Columbus,Ohio,United States,0.2,9:28 AM
Altamonte Springs,Florida,United States,0.2,9:28 AM
Sheridan,Oregon,United States,0.2,9:28 AM
Charlotte,North Carolina,United States,0.1,9:28 AM
Atlanta,Georgia,United States,0.1,9:28 AM
Los Angeles,California,United States,0.1,9:28 AM
Chicago,Illinois,United States,0.1,9:28 AM
San Carlos Park,Florida,United States,50.0,9:29 AM
Old Tappan,New Jersey,United States,50.0,9:29 AM
Palm Valley,Florida,United States,50.0,9:29 AM
Roseburg,Oregon,United States,50.0,9:29 AM
Lancaster,Massachusetts,United States,33.3,9:29 AM
Rolling Hills,California,United States,25.0,9:29 AM
West Caldwell,New Jersey,United States,25.0,9:29 AM
Independence,Kansas,United States,20.0,9:29 AM
Moorestown,New Jersey,United States,16.7,9:29 AM
Lutz,Florida,United States,16.7,9:29 AM
Ashtabula,Ohio,United States,14.3,9:29 AM
Lowell,Arkansas,United States,11.1,9:29 AM
Prairieville,Louisiana,United States,10.0,9:29 AM
Bristol,Tennessee,United States,10.0,9:29 AM
Saginaw Charter Township,Michigan,United States,9.1,9:29 AM
Medford,New York,United States,9.1,9:29 AM
Tustin,California,United States,9.1,9:29 AM
Lewes,Delaware,United States,8.3,9:29 AM
Marshfield,Massachusetts,United States,7.7,9:29 AM
New London,Connecticut,United States,7.7,9:29 AM
Cross Plains,Wisconsin,United States,7.7,9:29 AM
Exeter,New Hampshire,United States,7.1,9:29 AM
West Falls Church,Virginia,United States,7.1,9:29 AM
Aventura,Florida,United States,6.7,9:29 AM
Hendersonville,Tennessee,United States,6.7,9:29 AM
Shelton,Connecticut,United States,5.6,9:29 AM
Wake Village,Texas,United States,5.0,9:29 AM
Miamisburg,Ohio,United States,5.0,9:29 AM
Stockbridge,Georgia,United States,4.5,9:29 AM
Winchester,Virginia,United States,4.3,9:29 AM
Sandy,Utah,United States,4.0,9:29 AM
Springfield Township,New Jersey,United States,3.6,9:29 AM
Cheswold,Delaware,United States,3.4,9:29 AM
Medford,Massachusetts,United States,3.2,9:29 AM
Clifton,New Jersey,United States,3.1,9:29 AM
West Hartford,Connecticut,United States,3.0,9:29 AM
Frederick,Maryland,United States,2.3,9:29 AM
College Station,Texas,United States,2.1,9:29 AM
Denton,Texas,United States,2.1,9:29 AM
Eagan,Minnesota,United States,1.6,9:29 AM
Woodbridge Township,New Jersey,United States,1.5,9:29 AM
Grantley,Pennsylvania,United States,1.2,9:29 AM
Newport News,Virginia,United States,1.1,9:29 AM
Richardson,Texas,United States,1.1,9:29 AM
Tuckahoe,Virginia,United States,1.1,9:29 AM
East Syracuse,New York,United States,1.1,9:29 AM
Stamford,Connecticut,United States,1.1,9:29 AM
Akron,Ohio,United States,1.0,9:29 AM
Asheville,North Carolina,United States,1.0,9:29 AM
Albuquerque,New Mexico,United States,0.7,9:29 AM
Plano,Texas,United States,0.7,9:29 AM
Arlington,Virginia,United States,0.6,9:29 AM
New Orleans,Louisiana,United States,0.6,9:29 AM
Columbus,Ohio,United States,0.5,9:29 AM
Hyattsville,Maryland,United States,0.5,9:29 AM
Boston,Massachusetts,United States,0.4,9:29 AM
Washington,District of Columbia,United States,0.3,9:29 AM
St. Louis,Missouri,United States,0.3,9:29 AM
Louisville,Kentucky,United States,0.3,9:29 AM
Orlando,Florida,United States,0.2,9:29 AM
Jacksonville,Florida,United States,0.2,9:29 AM
Philadelphia,Pennsylvania,United States,0.2,9:29 AM
Minneapolis,Minnesota,United States,0.2,9:29 AM
New York,New York,United States,0.2,9:29 AM
Austin,Texas,United States,0.2,9:29 AM
Atlanta,Georgia,United States,0.2,9:29 AM
Nashville,Tennessee,United States,0.2,9:29 AM
Sheridan,Oregon,United States,0.1,9:29 AM
Altamonte Springs,Florida,United States,0.1,9:29 AM
Dallas,Texas,United States,0.1,9:29 AM
Houston,Texas,United States,0.1,9:29 AM
Los Angeles,California,United States,0.1,9:29 AM
Chicago,Illinois,United States,0.0,9:29 AM
Lowell Township,Michigan,United States,50.0,9:30 AM
Beaumont,California,United States,20.0,9:30 AM
Coos Bay,Oregon,United States,20.0,9:30 AM
Sullivan,Missouri,United States,20.0,9:30 AM
Hartville,Ohio,United States,20.0,9:30 AM
Cathedral City,California,United States,14.3,9:30 AM
Carson City,Nevada,United States,12.5,9:30 AM
Willow Grove,Pennsylvania,United States,12.5,9:30 AM
Henderson,Kentucky,United States,9.1,9:30 AM
Port Charlotte,Florida,United States,6.7,9:30 AM
Freeport,Florida,United States,5.9,9:30 AM
Sugar Land,Texas,United States,5.6,9:30 AM
Salem,Massachusetts,United States,5.0,9:30 AM
Beaverton,Oregon,United States,4.8,9:30 AM
San Mateo,California,United States,4.8,9:30 AM
Fairfield,Connecticut,United States,4.8,9:30 AM
Lisle,Illinois,United States,4.8,9:30 AM
Moreno Valley,California,United States,4.2,9:30 AM
Waterbury,Connecticut,United States,4.0,9:30 AM
Norman,Oklahoma,United States,3.7,9:30 AM
Portsmouth,Virginia,United States,2.8,9:30 AM
Plymouth,Massachusetts,United States,2.5,9:30 AM
Kalamazoo,Michigan,United States,2.4,9:30 AM
