City,Region,Country,Place combined,"""Help Nepal"", Indexed search interest (1-100)",Time (in GMT)
Karachi,Sindh,Pakistan,"Karachi, Pakistan",0,4/25/15 17:28
Minato,Tokyo,Japan,"Minato, Japan",0,4/25/15 17:28
New York,New York,United States,"New York, United States",0,4/25/15 17:28
Phnom Penh,Phnom Penh,Cambodia,"Phnom Penh, Cambodia",1,4/25/15 17:28
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 17:30
Bathford,England,United Kingdom,"Bathford, United Kingdom",1,4/25/15 17:30
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 17:30
Guildford,England,United Kingdom,"Guildford, United Kingdom",2,4/25/15 17:30
Hanover,Lower Saxony,Germany,"Hanover, Germany",0,4/25/15 17:30
Rancho Santa Margarita,California,United States,"Rancho Santa Margarita, United States",5,4/25/15 17:30
San Jose,California,United States,"San Jose, United States",0,4/25/15 17:30
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 17:30
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 17:31
Baton Rouge,Louisiana,United States,"Baton Rouge, United States",1,4/25/15 17:31
Stockholm,Stockholm County,Sweden,"Stockholm, Sweden",0,4/25/15 17:31
Chalon-sur-Saone,Burgundy,France,"Chalon-sur-Saone, France",4,4/25/15 17:32
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 17:32
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 17:32
Albuquerque,New Mexico,United States,"Albuquerque, United States",0,4/25/15 17:33
Glen Ellyn,Illinois,United States,"Glen Ellyn, United States",7,4/25/15 17:33
Hillsboro,Oregon,United States,"Hillsboro, United States",2,4/25/15 17:33
Leeuwarden,Friesland,Netherlands,"Leeuwarden, Netherlands",2,4/25/15 17:33
Melbourne,Victoria,Australia,"Melbourne, Australia",0,4/25/15 17:33
Munich,Bavaria,Germany,"Munich, Germany",0,4/25/15 17:33
Nevele,Flanders,Belgium,"Nevele, Belgium",9,4/25/15 17:33
San Jose,California,United States,"San Jose, United States",0,4/25/15 17:33
South Brunswick Township,New Jersey,United States,"South Brunswick Township, United States",3,4/25/15 17:33
Vancouver,British Columbia,Canada,"Vancouver, Canada",0,4/25/15 17:33
Beverwijk,North Holland,Netherlands,"Beverwijk, Netherlands",5,4/25/15 17:34
Ellicott City,Maryland,United States,"Ellicott City, United States",2,4/25/15 17:34
Jalgaon,Maharashtra,India,"Jalgaon, India",25,4/25/15 17:34
Karachi,Sindh,Pakistan,"Karachi, Pakistan",0,4/25/15 17:34
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 17:34
Paris,isle-de-France,France,"Paris, France",0,4/25/15 17:34
Shrewsbury,Massachusetts,United States,"Shrewsbury, United States",10,4/25/15 17:34
Ahmedabad,Gujarat,India,"Ahmedabad, India",0,4/25/15 17:36
Baldwin Park,California,United States,"Baldwin Park, United States",4,4/25/15 17:36
Hanover,Lower Saxony,Germany,"Hanover, Germany",0,4/25/15 17:36
New York,New York,United States,"New York, United States",0,4/25/15 17:36
Ramphan,Chanthaburi,Thailand,"Ramphan, Thailand",100,4/25/15 17:36
San Francisco,California,United States,"San Francisco, United States",0,4/25/15 17:36
Stuttgart,Baden-Wurttemberg,Germany,"Stuttgart, Germany",0,4/25/15 17:36
Superior,Colorado,United States,"Superior, United States",2,4/25/15 17:36
Tempe,Arizona,United States,"Tempe, United States",1,4/25/15 17:36
Wetzikon,Canton of Zurich,Switzerland,"Wetzikon, Switzerland",13,4/25/15 17:36
Buford,Georgia,United States,"Buford, United States",2,4/25/15 17:37
Dallas,Texas,United States,"Dallas, United States",0,4/25/15 17:37
Mile Oak,England,United Kingdom,"Mile Oak, United Kingdom",4,4/25/15 17:37
New York,New York,United States,"New York, United States",0,4/25/15 17:37
Ontario,California,United States,"Ontario, United States",1,4/25/15 17:37
Evanston,Illinois,United States,"Evanston, United States",2,4/25/15 17:38
Eversley,England,United Kingdom,"Eversley, United Kingdom",5,4/25/15 17:38
Guelph,Ontario,Canada,"Guelph, Canada",1,4/25/15 17:38
Kriens,Lucerne,Switzerland,"Kriens, Switzerland",9,4/25/15 17:38
Pregny-Chambesy,Geneva,Switzerland,"Pregny-Chambesy, Switzerland",1,4/25/15 17:38
Berkeley,California,United States,"Berkeley, United States",2,4/25/15 17:39
Douglasville,Georgia,United States,"Douglasville, United States",5,4/25/15 17:39
Hampton in Arden,England,United Kingdom,"Hampton in Arden, United Kingdom",2,4/25/15 17:39
Lahore,Punjab,Pakistan,"Lahore, Pakistan",0,4/25/15 17:39
Lancaster,Pennsylvania,United States,"Lancaster, United States",2,4/25/15 17:39
Bristol,England,United Kingdom,"Bristol, United Kingdom",0,4/25/15 17:40
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 17:40
Muskego,Wisconsin,United States,"Muskego, United States",13,4/25/15 17:40
Belfast,Northern Ireland,United Kingdom,"Belfast, United Kingdom",0,4/25/15 17:41
Bridgewater,New Jersey,United States,"Bridgewater, United States",1,4/25/15 17:41
Culver City,California,United States,"Culver City, United States",7,4/25/15 17:41
Hingham,Massachusetts,United States,"Hingham, United States",8,4/25/15 17:41
Paradise,Nevada,United States,"Paradise, United States",0,4/25/15 17:41
Sheffield,England,United Kingdom,"Sheffield, United Kingdom",0,4/25/15 17:41
Sherborne Saint John,England,United Kingdom,"Sherborne Saint John, United Kingdom",25,4/25/15 17:41
Albert Lea,Minnesota,United States,"Albert Lea, United States",100,4/25/15 17:42
Bhopal,Madhya Pradesh,India,"Bhopal, India",0,4/25/15 17:42
Carney,Maryland,United States,"Carney, United States",4,4/25/15 17:42
New York,New York,United States,"New York, United States",0,4/25/15 17:42
Asunciisn,PY-ASU,Paraguay,"Asunciisn, Paraguay",0,4/25/15 17:43
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 17:43
Dumfries,Scotland,United Kingdom,"Dumfries, United Kingdom",33,4/25/15 17:43
Fulda,Hesse,Germany,"Fulda, Germany",1,4/25/15 17:43
Gretton,England,United Kingdom,"Gretton, United Kingdom",6,4/25/15 17:43
Ithaca,New York,United States,"Ithaca, United States",2,4/25/15 17:43
New Orleans,Louisiana,United States,"New Orleans, United States",1,4/25/15 17:43
New York,New York,United States,"New York, United States",0,4/25/15 17:43
Oakland,California,United States,"Oakland, United States",1,4/25/15 17:43
Shenley,England,United Kingdom,"Shenley, United Kingdom",33,4/25/15 17:43
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 17:45
Berkeley,California,United States,"Berkeley, United States",1,4/25/15 17:45
Berlin,Berlin,Germany,"Berlin, Germany",0,4/25/15 17:45
Calgary,Alberta,Canada,"Calgary, Canada",0,4/25/15 17:45
Corvallis,Oregon,United States,"Corvallis, United States",2,4/25/15 17:45
Cour-sur-Loire,Centre,France,"Cour-sur-Loire, France",17,4/25/15 17:45
Everett,Washington,United States,"Everett, United States",2,4/25/15 17:45
Milan,Lombardy,Italy,"Milan, Italy",0,4/25/15 17:45
New Orleans,Louisiana,United States,"New Orleans, United States",1,4/25/15 17:45
Valencia,Valencian Community,Spain,"Valencia, Spain",0,4/25/15 17:45
Wellington,Wellington,New Zealand,"Wellington, New Zealand",7,4/25/15 17:45
Bristol,England,United Kingdom,"Bristol, United Kingdom",0,4/25/15 17:46
Colorado Springs,Colorado,United States,"Colorado Springs, United States",1,4/25/15 17:46
Larkspur,California,United States,"Larkspur, United States",0,4/25/15 17:46
Malmo,Ski´ne County,Sweden,"Malmo, Sweden",1,4/25/15 17:46
Needham,Massachusetts,United States,"Needham, United States",8,4/25/15 17:46
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 17:46
Quito Canton,Pichincha,Ecuador,"Quito Canton, Ecuador",0,4/25/15 17:46
San Francisco,California,United States,"San Francisco, United States",0,4/25/15 17:46
Basingstoke,England,United Kingdom,"Basingstoke, United Kingdom",2,4/25/15 17:47
Fitchburg,Wisconsin,United States,"Fitchburg, United States",6,4/25/15 17:47
Leeds,England,United Kingdom,"Leeds, United Kingdom",0,4/25/15 17:47
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 17:47
New York,New York,United States,"New York, United States",0,4/25/15 17:47
Raipura,Bihar,India,"Raipura, India",1,4/25/15 17:47
Sioux Falls,South Dakota,United States,"Sioux Falls, United States",2,4/25/15 17:47
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 17:47
Aliso Viejo,California,United States,"Aliso Viejo, United States",3,4/25/15 17:48
Hamilton,Ontario,Canada,"Hamilton, Canada",0,4/25/15 17:48
Hidden Meadows,California,United States,"Hidden Meadows, United States",17,4/25/15 17:48
Houston,Texas,United States,"Houston, United States",0,4/25/15 17:48
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 17:48
Milan,Lombardy,Italy,"Milan, Italy",0,4/25/15 17:48
Osaka,Osaka Prefecture,Japan,"Osaka, Japan",0,4/25/15 17:48
Seattle,Washington,United States,"Seattle, United States",0,4/25/15 17:48
Prato,Tuscany,Italy,"Prato, Italy",1,4/25/15 17:49
Balcombe,England,United Kingdom,"Balcombe, United Kingdom",100,4/25/15 17:49
Baltimore,Maryland,United States,"Baltimore, United States",0,4/25/15 17:49
Biel/Bienne,Canton of Bern,Switzerland,"Biel/Bienne, Switzerland",3,4/25/15 17:49
Denver,Colorado,United States,"Denver, United States",0,4/25/15 17:49
Greenville,North Carolina,United States,"Greenville, United States",1,4/25/15 17:49
Leverkusen,North Rhine-Westphalia,Germany,"Leverkusen, Germany",3,4/25/15 17:49
Mississauga,Ontario,Canada,"Mississauga, Canada",0,4/25/15 17:49
Dehradun,Uttarakhand,India,"Dehradun, India",3,4/25/15 17:50
Leesburg,Virginia,United States,"Leesburg, United States",1,4/25/15 17:50
San Antonio,Texas,United States,"San Antonio, United States",0,4/25/15 17:50
San Jose,San Jose,Costa Rica,"San Jose, Costa Rica",0,4/25/15 17:50
Vellore,Tamil Nadu,India,"Vellore, India",4,4/25/15 17:50
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 17:51
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 17:51
Osaka,Osaka Prefecture,Japan,"Osaka, Japan",0,4/25/15 17:51
Portland,Maine,United States,"Portland, United States",3,4/25/15 17:51
Euless,Texas,United States,"Euless, United States",7,4/25/15 17:53
Hamilton Township,New Jersey,United States,"Hamilton Township, United States",3,4/25/15 17:53
Chicago,Illinois,United States,"Chicago, United States",0,4/25/15 17:54
Edmonton,Alberta,Canada,"Edmonton, Canada",0,4/25/15 17:54
Fahrenbach,Baden-Wurttemberg,Germany,"Fahrenbach, Germany",100,4/25/15 17:54
Guwahati,Assam,India,"Guwahati, India",1,4/25/15 17:54
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 17:54
Navi Mumbai,Maharashtra,India,"Navi Mumbai, India",1,4/25/15 17:54
Portland,Oregon,United States,"Portland, United States",0,4/25/15 17:54
Toulouse,Midi-Pyrenees,France,"Toulouse, France",0,4/25/15 17:54
Baltimore,Maryland,United States,"Baltimore, United States",0,4/25/15 17:55
Dubai,Dubai,United Arab Emirates,"Dubai, United Arab Emirates",0,4/25/15 17:55
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 17:55
Chalfont St Peter,England,United Kingdom,"Chalfont St Peter, United Kingdom",33,4/25/15 17:56
Frankfurt,Hesse,Germany,"Frankfurt, Germany",0,4/25/15 17:56
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 17:56
Cumania,Sucre,Venezuela,"Cumania, Venezuela",3,4/25/15 17:57
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 17:57
Mitaka,Tokyo,Japan,"Mitaka, Japan",25,4/25/15 17:57
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 17:57
Shoreline,Washington,United States,"Shoreline, United States",9,4/25/15 17:57
Hambleton,England,United Kingdom,"Hambleton, United Kingdom",0,4/25/15 17:58
Liverpool,England,United Kingdom,"Liverpool, United Kingdom",0,4/25/15 17:58
Naaldwijk,South Holland,Netherlands,"Naaldwijk, Netherlands",8,4/25/15 17:58
Neuhausen ob Eck,Baden-Wurttemberg,Germany,"Neuhausen ob Eck, Germany",0,4/25/15 17:58
Pittsfield Charter Township,Michigan,United States,"Pittsfield Charter Township, United States",0,4/25/15 17:58
Bloomfield Hills,Michigan,United States,"Bloomfield Hills, United States",7,4/25/15 17:59
Chennai,Tamil Nadu,India,"Chennai, India",0,4/25/15 17:59
Danville,California,United States,"Danville, United States",5,4/25/15 17:59
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 17:59
Newark,California,United States,"Newark, United States",3,4/25/15 17:59
Zambana,Trentino-Alto Adige/Sisdtirol,Italy,"Zambana, Italy",100,4/25/15 18:00
Bromley,England,United Kingdom,"Bromley, United Kingdom",1,4/25/15 18:00
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 18:00
Oulu,Northern Ostrobothnia,Finland,"Oulu, Finland",1,4/25/15 18:00
Fort Collins,Colorado,United States,"Fort Collins, United States",1,4/25/15 18:01
Garden Grove,California,United States,"Garden Grove, United States",2,4/25/15 18:01
Norman,Oklahoma,United States,"Norman, United States",3,4/25/15 18:01
Oakton,Virginia,United States,"Oakton, United States",4,4/25/15 18:01
Rawalpindi,Punjab,Pakistan,"Rawalpindi, Pakistan",0,4/25/15 18:01
Warsaw,Indiana,United States,"Warsaw, United States",7,4/25/15 18:01
Nantes,Pays de la Loire,France,"Nantes, France",0,4/25/15 18:03
Newton,Massachusetts,United States,"Newton, United States",2,4/25/15 18:03
Plano,Texas,United States,"Plano, United States",0,4/25/15 18:03
Arezzo,Tuscany,Italy,"Arezzo, Italy",6,4/25/15 18:04
Berne,Canton of Bern,Switzerland,"Berne, Switzerland",1,4/25/15 18:04
Cambridge,Massachusetts,United States,"Cambridge, United States",0,4/25/15 18:04
Chicago,Illinois,United States,"Chicago, United States",0,4/25/15 18:04
Dresden,Saxony,Germany,"Dresden, Germany",0,4/25/15 18:04
Forst,Baden-Wurttemberg,Germany,"Forst, Germany",100,4/25/15 18:04
Frankfurt,Hesse,Germany,"Frankfurt, Germany",0,4/25/15 18:04
Kirkland,Washington,United States,"Kirkland, United States",3,4/25/15 18:04
Lexington,Kentucky,United States,"Lexington, United States",1,4/25/15 18:04
North Highlands,California,United States,"North Highlands, United States",9,4/25/15 18:04
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 18:04
Frankfurt,Hesse,Germany,"Frankfurt, Germany",0,4/25/15 18:07
Irving,Texas,United States,"Irving, United States",1,4/25/15 18:07
New York,New York,United States,"New York, United States",0,4/25/15 18:07
Oslo,Oslo,Norway,"Oslo, Norway",0,4/25/15 18:07
Rome,Lazio,Italy,"Rome, Italy",0,4/25/15 18:07
Thane,Maharashtra,India,"Thane, India",1,4/25/15 18:07
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/25/15 18:08
Kirchheim unter Teck,Baden-Wurttemberg,Germany,"Kirchheim unter Teck, Germany",5,4/25/15 18:08
Lacombe,Alberta,Canada,"Lacombe, Canada",33,4/25/15 18:08
Ottawa,Ontario,Canada,"Ottawa, Canada",0,4/25/15 18:08
Renton,Washington,United States,"Renton, United States",3,4/25/15 18:08
San Rafael,California,United States,"San Rafael, United States",2,4/25/15 18:08
Stradbroke,England,United Kingdom,"Stradbroke, United Kingdom",25,4/25/15 18:08
Amsterdam,North Holland,Netherlands,"Amsterdam, Netherlands",0,4/25/15 18:09
Cedar City,Utah,United States,"Cedar City, United States",13,4/25/15 18:09
Freiburg,Baden-Wurttemberg,Germany,"Freiburg, Germany",0,4/25/15 18:09
Munich,Bavaria,Germany,"Munich, Germany",0,4/25/15 18:09
The Hague,South Holland,Netherlands,"The Hague, Netherlands",0,4/25/15 18:09
Salerno,Campania,Italy,"Salerno, Italy",1,4/25/15 18:10
Adelaide,South Australia,Australia,"Adelaide, Australia",2,4/25/15 18:10
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 18:10
San Francisco,California,United States,"San Francisco, United States",0,4/25/15 18:10
Weinheim,Baden-Wurttemberg,Germany,"Weinheim, Germany",2,4/25/15 18:10
West Windsor Township,New Jersey,United States,"West Windsor Township, United States",4,4/25/15 18:10
Westport,Connecticut,United States,"Westport, United States",6,4/25/15 18:10
Widen,Aargau,Switzerland,"Widen, Switzerland",100,4/25/15 18:10
Ahmedabad,Gujarat,India,"Ahmedabad, India",0,4/25/15 18:11
Augsburg,Bavaria,Germany,"Augsburg, Germany",1,4/25/15 18:11
Blacksburg,Virginia,United States,"Blacksburg, United States",1,4/25/15 18:11
Corona de Tucson,Arizona,United States,"Corona de Tucson, United States",100,4/25/15 18:11
Desborough,England,United Kingdom,"Desborough, United Kingdom",5,4/25/15 18:11
Henderson,Nevada,United States,"Henderson, United States",1,4/25/15 18:11
Neustadt,Schleswig-Holstein,Germany,"Neustadt, Germany",14,4/25/15 18:11
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 18:11
New York,New York,United States,"New York, United States",0,4/25/15 18:11
Philadelphia,Pennsylvania,United States,"Philadelphia, United States",0,4/25/15 18:11
San Francisco,California,United States,"San Francisco, United States",0,4/25/15 18:11
Thousand Oaks,California,United States,"Thousand Oaks, United States",2,4/25/15 18:11
Brunswick,Lower Saxony,Germany,"Brunswick, Germany",1,4/25/15 18:12
Martigny,Valais,Switzerland,"Martigny, Switzerland",10,4/25/15 18:12
Milan,Lombardy,Italy,"Milan, Italy",0,4/25/15 18:12
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 18:12
New York,New York,United States,"New York, United States",0,4/25/15 18:12
Royalton,Vermont,United States,"Royalton, United States",100,4/25/15 18:12
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 18:12
Zurich,Canton of Zurich,Switzerland,"Zurich, Switzerland",0,4/25/15 18:12
Burgdorf,Canton of Bern,Switzerland,"Burgdorf, Switzerland",14,4/25/15 18:13
Hoffman Estates,Illinois,United States,"Hoffman Estates, United States",3,4/25/15 18:13
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:13
Padre Las Casas,Araucanisa Region,Chile,"Padre Las Casas, Chile",13,4/25/15 18:13
Portland,Oregon,United States,"Portland, United States",0,4/25/15 18:13
San Jose,California,United States,"San Jose, United States",0,4/25/15 18:13
Cleveland,Ohio,United States,"Cleveland, United States",1,4/25/15 18:14
Epsom,England,United Kingdom,"Epsom, United Kingdom",4,4/25/15 18:14
Hismeenlinna,Tavastia Proper,Finland,"Hismeenlinna, Finland",6,4/25/15 18:14
Lorrach,Baden-Wurttemberg,Germany,"Lorrach, Germany",4,4/25/15 18:14
South Plainfield,New Jersey,United States,"South Plainfield, United States",17,4/25/15 18:14
Sunnyvale,California,United States,"Sunnyvale, United States",1,4/25/15 18:14
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 18:15
Louisville,Kentucky,United States,"Louisville, United States",0,4/25/15 18:15
Sydney,New South Wales,Australia,"Sydney, Australia",0,4/25/15 18:15
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 18:15
Vernon,Connecticut,United States,"Vernon, United States",11,4/25/15 18:15
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 18:16
Carlsbad,California,United States,"Carlsbad, United States",2,4/25/15 18:16
Fernie,British Columbia,Canada,"Fernie, Canada",25,4/25/15 18:16
Misnster,North Rhine-Westphalia,Germany,"Misnster, Germany",0,4/25/15 18:16
New York,New York,United States,"New York, United States",0,4/25/15 18:16
Toronto,Ontario,Canada,"Toronto, Canada",0,4/25/15 18:16
Charlotte,North Carolina,United States,"Charlotte, United States",0,4/25/15 18:17
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 18:17
Marburg,Hesse,Germany,"Marburg, Germany",2,4/25/15 18:17
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 18:17
Thimphu,Thimphu,Bhutan,"Thimphu, Bhutan",7,4/25/15 18:17
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 18:18
New York,New York,United States,"New York, United States",0,4/25/15 18:18
Broken Arrow,Oklahoma,United States,"Broken Arrow, United States",3,4/25/15 18:21
Clifton,New Jersey,United States,"Clifton, United States",5,4/25/15 18:21
Guelph,Ontario,Canada,"Guelph, Canada",2,4/25/15 18:21
Arlington,Massachusetts,United States,"Arlington, United States",6,4/25/15 18:22
Austin,Texas,United States,"Austin, United States",0,4/25/15 18:22
Bremen,Bremen,Germany,"Bremen, Germany",0,4/25/15 18:22
Bury,England,United Kingdom,"Bury, United Kingdom",3,4/25/15 18:22
Calgary,Alberta,Canada,"Calgary, Canada",0,4/25/15 18:22
Newport Beach,California,United States,"Newport Beach, United States",3,4/25/15 18:22
Verona,Veneto,Italy,"Verona, Italy",1,4/25/15 18:23
Bremen,Bremen,Germany,"Bremen, Germany",0,4/25/15 18:23
Herndon,Virginia,United States,"Herndon, United States",4,4/25/15 18:23
Howrah,West Bengal,India,"Howrah, India",0,4/25/15 18:23
Meadow Lake,Saskatchewan,Canada,"Meadow Lake, Canada",50,4/25/15 18:23
Mississauga,Ontario,Canada,"Mississauga, Canada",0,4/25/15 18:23
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 18:23
Novato,California,United States,"Novato, United States",5,4/25/15 18:23
Oldenburg,Lower Saxony,Germany,"Oldenburg, Germany",1,4/25/15 18:23
Boston,Massachusetts,United States,"Boston, United States",0,4/25/15 18:24
New Delhi,Delhi,India,"New Delhi, India",0,4/25/15 18:24
Reading,England,United Kingdom,"Reading, United Kingdom",1,4/25/15 18:24
Lille,Nord-Pas-de-Calais,France,"Lille, France",0,4/25/15 18:25
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:25
Mexico City,Federal District,Mexico,"Mexico City, Mexico",0,4/25/15 18:25
Wavre,Walloon Region,Belgium,"Wavre, Belgium",2,4/25/15 18:25
Fernhill Heath,England,United Kingdom,"Fernhill Heath, United Kingdom",25,4/25/15 18:26
Levis,Quebec,Canada,"Levis, Canada",1,4/25/15 18:26
Mumbai,Maharashtra,India,"Mumbai, India",0,4/25/15 18:26
Offenburg,Baden-Wurttemberg,Germany,"Offenburg, Germany",4,4/25/15 18:26
San Carlos,California,United States,"San Carlos, United States",1,4/25/15 18:26
Spokane,Washington,United States,"Spokane, United States",1,4/25/15 18:26
Bad Driburg,North Rhine-Westphalia,Germany,"Bad Driburg, Germany",17,4/25/15 18:27
Calgary,Alberta,Canada,"Calgary, Canada",0,4/25/15 18:27
Cambridge,Massachusetts,United States,"Cambridge, United States",0,4/25/15 18:27
Ellicott City,Maryland,United States,"Ellicott City, United States",2,4/25/15 18:27
Heritage Hills,New York,United States,"Heritage Hills, United States",100,4/25/15 18:27
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:27
Lynn,Massachusetts,United States,"Lynn, United States",5,4/25/15 18:27
New York,New York,United States,"New York, United States",0,4/25/15 18:27
Nice,Provence-Alpes-Cote d'Azur,France,"Nice, France",0,4/25/15 18:27
Nottingham,England,United Kingdom,"Nottingham, United Kingdom",0,4/25/15 18:27
Hilversum,North Holland,Netherlands,"Hilversum, Netherlands",3,4/25/15 18:28
Boston,Massachusetts,United States,"Boston, United States",0,4/25/15 18:28
Burnham,England,United Kingdom,"Burnham, United Kingdom",1,4/25/15 18:28
Kennington,England,United Kingdom,"Kennington, United Kingdom",2,4/25/15 18:28
Mannheim,Baden-Wurttemberg,Germany,"Mannheim, Germany",0,4/25/15 18:28
Vetlanda,Jonkoping County,Sweden,"Vetlanda, Sweden",17,4/25/15 18:28
Smørum,Capital Region of Denmark,Denmark,"Smørum, Denmark",33,4/25/15 18:29
Lenham,England,United Kingdom,"Lenham, United Kingdom",1,4/25/15 18:29
Raleigh,North Carolina,United States,"Raleigh, United States",0,4/25/15 18:29
Baton Rouge,Louisiana,United States,"Baton Rouge, United States",1,4/25/15 18:31
Berlin,Berlin,Germany,"Berlin, Germany",0,4/25/15 18:31
Canberra,Australian Capital Territory,Australia,"Canberra, Australia",7,4/25/15 18:31
Houston,Texas,United States,"Houston, United States",0,4/25/15 18:31
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:31
Ottawa,Ontario,Canada,"Ottawa, Canada",0,4/25/15 18:31
Parker,Colorado,United States,"Parker, United States",4,4/25/15 18:31
Pune,Maharashtra,India,"Pune, India",0,4/25/15 18:31
Russett,Maryland,United States,"Russett, United States",1,4/25/15 18:31
Sidney,British Columbia,Canada,"Sidney, Canada",11,4/25/15 18:31
Stockholm,Stockholm County,Sweden,"Stockholm, Sweden",0,4/25/15 18:31
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 18:32
Leipzig,Saxony,Germany,"Leipzig, Germany",0,4/25/15 18:32
Lone Tree,Colorado,United States,"Lone Tree, United States",8,4/25/15 18:32
Munich,Bavaria,Germany,"Munich, Germany",0,4/25/15 18:32
Portland,Oregon,United States,"Portland, United States",0,4/25/15 18:32
Saugus,Massachusetts,United States,"Saugus, United States",14,4/25/15 18:32
Sonipat,Haryana,India,"Sonipat, India",14,4/25/15 18:32
Waterloo,Ontario,Canada,"Waterloo, Canada",1,4/25/15 18:32
Belgorod,Belgorod Oblast,Russia,"Belgorod, Russia",1,4/25/15 18:33
Dhaka,Dhaka Division,Bangladesh,"Dhaka, Bangladesh",0,4/25/15 18:33
Hyattsville,Maryland,United States,"Hyattsville, United States",0,4/25/15 18:33
New York,New York,United States,"New York, United States",0,4/25/15 18:33
Newark,California,United States,"Newark, United States",3,4/25/15 18:33
Raipura,Bihar,India,"Raipura, India",1,4/25/15 18:33
Chittagong,Chittagong Division,Bangladesh,"Chittagong, Bangladesh",1,4/25/15 18:34
Davis,California,United States,"Davis, United States",2,4/25/15 18:34
Edmonton,Alberta,Canada,"Edmonton, Canada",0,4/25/15 18:34
Kolkata,West Bengal,India,"Kolkata, India",1,4/25/15 18:34
Lodi,California,United States,"Lodi, United States",6,4/25/15 18:34
Los Angeles,California,United States,"Los Angeles, United States",0,4/25/15 18:34
Sacramento,California,United States,"Sacramento, United States",0,4/25/15 18:34
SeaTac,Washington,United States,"SeaTac, United States",1,4/25/15 18:34
Enschede,Overijssel,Netherlands,"Enschede, Netherlands",2,4/25/15 18:36
Albany,California,United States,"Albany, United States",5,4/25/15 18:36
Florence,Tuscany,Italy,"Florence, Italy",0,4/25/15 18:36
Heddon-on-the-Wall,England,United Kingdom,"Heddon-on-the-Wall, United Kingdom",100,4/25/15 18:36
London,England,United Kingdom,"London, United Kingdom",0,4/25/15 18:36
Milan,Lombardy,Italy,"Milan, Italy",0,4/25/15 18:36
New York,New York,United States,"New York, United States",0,4/25/15 18:36
Thousand Oaks,California,United States,"Thousand Oaks, United States",2,4/25/15 18:36
Calgary,Alberta,Canada,"Calgary, Canada",0,4/25/15 18:37
Cologne,North Rhine-Westphalia,Germany,"Cologne, Germany",0,4/25/15 18:37
Denver,Colorado,United States,"Denver, United States",0,4/25/15 18:37
Santa Cruz de la Sierra,Santa Cruz,Bolivia,"Santa Cruz de la Sierra, Bolivia",0,4/25/15 18:37
Asheville,North Carolina,United States,"Asheville, United States",1,4/25/15 18:38
Atlanta,Georgia,United States,"Atlanta, United States",0,4/25/15 18:38
Bangalore,Karnataka,India,"Bangalore, India",0,4/25/15 18:38
Berlin,Berlin,Germany,"Berlin, Germany",0,4/25/15 18:38
Copenhagen,Capital Region of Denmark,Denmark,"Copenhagen, Denmark",0,4/25/15 18:38
Goonhavern,England,United Kingdom,"Goonhavern, United Kingdom",2,4/25/15 18:38
Iowa,Louisiana,United States,"Iowa, United States",100,4/25/15 18:38
Peekskill,New York,United States,"Peekskill, United States",13,4/25/15 18:38
